2 theta	A_{s,sc}	A_{c,sc}	A_{c,c}
85.5	0.3310724	0.5923265	0.9248473
85.6	0.3311268	0.5923129	0.9248564
85.7	0.3311811	0.592301	0.9248651
85.8	0.3312355	0.5922903	0.9248737
85.9	0.3312898	0.5922811	0.9248821
86	0.3313442	0.5922733	0.9248902
86.1	0.3313986	0.592267	0.924898
86.2	0.331453	0.5922622	0.9249057
86.3	0.3315074	0.5922586	0.9249133
86.4	0.3315619	0.5922565	0.9249206
86.5	0.3316164	0.5922556	0.9249278
86.6	0.3316709	0.5922562	0.9249348
86.7	0.3317254	0.592258	0.9249415
86.8	0.3317799	0.592261	0.9249477
86.9	0.3318343	0.5922655	0.9249541
87	0.3318889	0.5922714	0.9249604
87.1	0.3319435	0.5922784	0.9249663
87.2	0.331998	0.5922867	0.924972
87.3	0.3320526	0.5922962	0.9249773
87.4	0.3321072	0.592307	0.924983
87.5	0.3321618	0.5923192	0.9249881
87.6	0.3322165	0.5923324	0.9249929
87.7	0.3322712	0.5923468	0.9249977
87.8	0.3323258	0.5923628	0.9250023
87.9	0.3323805	0.5923798	0.9250067
88	0.3324352	0.5923979	0.9250109
88.1	0.3324899	0.5924173	0.925015
88.2	0.3325446	0.5924381	0.9250188
88.3	0.3325994	0.5924597	0.9250222
88.4	0.3326541	0.5924829	0.9250259
88.5	0.3327088	0.5925069	0.9250291
88.6	0.3327636	0.5925324	0.9250321
88.7	0.3328184	0.592559	0.9250349
88.8	0.3328731	0.5925868	0.9250379
88.9	0.3329279	0.5926157	0.9250402
89	0.3329828	0.5926458	0.9250426
89.1	0.3330376	0.5926771	0.9250447
89.2	0.3330925	0.5927096	0.9250465
89.3	0.3331473	0.5927433	0.9250485
89.4	0.3332022	0.5927781	0.9250502
89.5	0.3332571	0.5928141	0.9250515
89.6	0.333312	0.5928513	0.9250526
